"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2023-10-13,363.879058837891,4327.77978515625,13407.23046875,19.3199996948242,-0.59,-0.35,0.06,0.08,0.46,0.021,-0.77,-0.0126495480344824
2023-10-16,367.993194580078,4373.6298828125,13567.98046875,17.2099990844727,1.14,0.58,-0.09,-0.36,-0.02,0.021,-0.27,0.0112428885213696
2023-10-17,366.787872314453,4373.2001953125,13533.75,17.8799991607666,0.09,1.05,0.7,-0.07,0.33,0.021,-0.59,-0.00328076865626681
2023-10-18,361.976379394531,4314.60009765625,13314.2998046875,19.2199993133545,-1.47,-0.6,-0.17,0.85,0.46,0.021,0.23,-0.0132047169472198
2023-10-19,358.589416503906,4278,13186.1796875,21.3999996185303,-0.92,-0.54,-0.22,-0.05,0,0.021,-0.08,-0.00940091204451843
2023-10-20,353.240020751953,4224.16015625,12983.8095703125,21.7099990844727,-1.32,0.08,-0.15,0.2,0.37,0.021,0.4,-0.0150302760129488
2023-10-23,354.305908203125,4217.0400390625,13018.330078125,20.3700008392334,-0.23,-0.58,-0.78,0.17,-0.44,0.021,0.85,0.00301291609170828
2023-10-24,357.752655029297,4247.68017578125,13139.8701171875,18.9699993133545,0.71,0.09,-0.58,-0.9,0.15,0.021,0.59,0.00968115243479151
2023-10-25,348.996337890625,4186.77001953125,12821.2197265625,20.1900005340576,-1.58,-0.02,0.84,1.5,0.2,0.021,-0.74,-0.0247804108772591
2023-10-26,342.341979980469,4137.22998046875,12595.6103515625,20.6800003051758,-1.15,1.19,1.66,-0.76,0.48,0.021,-1.4,-0.0192512500797779
2023-10-27,343.985626220703,4117.3701171875,12643.009765625,21.2700004577637,-0.53,-0.58,-0.57,0.42,-0.96,0.021,1.5,0.0047896933407463
2023-10-30,347.860717773438,4166.81982421875,12789.48046875,19.75,1.15,-0.34,0.28,-0.14,0.17,0.021,0.13,0.0112022911170602
2023-10-31,349.524322509766,4193.7998046875,12851.240234375,18.1399993896484,0.63,0.05,-0.08,-0.84,0.06,0.021,-0.59,0.00477098817972266
2023-11-01,355.590942382812,4237.85986328125,13061.4697265625,16.8700008392334,0.93,-0.68,-0.03,0.12,-0.71,0.021,1.77,0.0172078803958762
2023-11-02,362.046112060547,4317.77978515625,13294.1904296875,15.6599998474121,1.95,0.71,1.64,-0.25,0.53,0.021,-1.24,0.0179905531452489
2023-11-03,366.299713134766,4358.33984375,13478.2802734375,14.9099998474121,1.1,1.74,0.59,-1.18,0.18,0.021,-1.03,0.011680301545411
2023-11-06,367.7939453125,4365.97998046875,13518.7802734375,14.8900003433228,0.01,-1.23,-0.65,0.88,-0.19,0.021,1.05,0.00407096349128455
2023-11-07,371.270568847656,4378.3798828125,13639.8603515625,14.8100004196167,0.35,-0.41,-1.21,-1.31,-0.07,0.021,0.79,0.00940824275272512
2023-11-08,371.509643554688,4382.77978515625,13650.41015625,14.4499998092651,-0.04,-1,-0.44,0.44,0.04,0.021,1.08,0.000643729359762979
2023-11-09,368.650695800781,4347.35009765625,13521.4501953125,15.289999961853,-0.89,-1.01,0.49,0.54,-0.3,0.021,0.99,-0.0077252503822649
2023-11-10,376.938781738281,4415.240234375,13798.1103515625,14.1700000762939,1.49,-0.62,-0.44,0.74,-0.35,0.021,1.23,0.0222332197423443
